OBJECTID,the_geom,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_Altern,DesDate,LandmarkTy,URL_REPORT
21,"MULTIPOLYGON (((-74.06352450610024 40.5994261554291, -74.06336306532856 40.59916838351791, -74.06368211863249 40.59906411305548, -74.06394239046227 40.599435031565164, -74.06361406987553 40.5995691601983, -74.06352450610024 40.5994261554291)))",SI,3105,1,45 McClean Avenue,5031050001,H. H. Richardson House,LP-02141,Too long,,03/30/2004 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2141.pdf
22,"MULTIPOLYGON (((-74.08194618553848 40.63958237576357, -74.08231907980876 40.63953007653923, -74.08249626209049 40.639505225815384, -74.08256189491915 40.63977574323499, -74.08200664911702 40.63985392467196, -74.08194618553848 40.63958237576357)))",SI,38,35,344 Westervelt Avenue,5000380035,August and Augusta Schoverling House,LP-02073,"Borough of Staten Island Tax Map Block 38, Lot 35.",,01/30/2001 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2073.pdf
23,"MULTIPOLYGON (((-74.11189182585163 40.62353643226808, -74.11238003607049 40.62338800859516, -74.11252337513204 40.6236478442597, -74.11242602164397 40.623677440567775, -74.11202463117876 40.62379946934587, -74.11189182585163 40.62353643226808)))",SI,305,76,27 Tyler Street,5003050076,Julia Gardiner Tyler House,LP-00344,"Borough of Richmond Tax Map Block 305, Lot 76.","originally the Elizabeth Racey House, also known as the Gardiner-Tyler House",04/12/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0344.pdf
24,"MULTIPOLYGON (((-74.06387433252742 40.61121773116519, -74.06405038676382 40.61145664510887, -74.06344350458511 40.61174788973863, -74.06326745175258 40.61150897487245, -74.06387433252742 40.61121773116519)))",SI,2832,18,1331 Bay Street,5028320018,Saint John's Church,LP-00373,"Borough of Richmond Tax Map Block 2832, Lot 18.",,02/19/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0373.pdf
25,"MULTIPOLYGON (((-74.13027014725897 40.6363812078121, -74.13027373691587 40.63633500887644, -74.13027906433258 40.63626645526689, -74.13028453014253 40.6361961364808, -74.13045079578889 40.63620662543875, -74.13040868741379 40.636391685013585, -74.13027014725897 40.6363812078121)))",SI,1012,10,29 Cottage Place,5010120010,29 Cottage Place House,LP-02447,"Borough of Staten Island, Tax Map Block 1012, Lot 10.",,10/25/2011 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2447.pdf
26,"MULTIPOLYGON (((-74.12084957510764 40.57591899722207, -74.12061768279538 40.57561933001955, -74.1209328316813 40.57548554356837, -74.1211618305718 40.57578147060833, -74.12134116390469 40.576013214293745, -74.12103296932693 40.576155988075236, -74.12084957510764 40.57591899722207)))",SI,942,37,2475 Richmond Road,5009420037,Gustave A. Mayer House,LP-01652,"Borough of Staten Island Tax Map Block 942, Lot 37",originally the David R. Ryers House,03/21/1989 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1652.pdf
27,"MULTIPOLYGON (((-74.13193758812749 40.639976237288046, -74.13242319219958 40.63936809673642, -74.13274495754439 40.63951378462351, -74.13280524565077 40.63943828028521, -74.13283747213099 40.63939792229615, -74.13288276294772 40.63934120116829, -74.13342506163842 40.63958667622506, -74.13341711310744 40.639602752518314, -74.13354668291036 40.639638471611946, -74.13349034396983 40.63976013328873, -74.1334260949214 40.6398988788662, -74.13334138604458 40.63987552669236, -74.13325803508393 40.6398525483992, -74.13326233847326 40.639843256353714, -74.13306073664096 40.63976377401422, -74.13290816320799 40.639703619249225, -74.1327492440339 40.63964096366051, -74.1326664820052 40.63960833339015, -74.13248364966469 40.639862446574945, -74.13234198943616 40.63998551980892, -74.1322484352642 40.64006679757026, -74.13220656844852 40.640098026201, -74.13193758812749 40.639976237288046)))",SI,1073,75,54 Port Richmond Avenue,5010730075,"Reformed Church on Staten Island, Sunday School Building, and Cemetery",LP-02384,"Borough of Staten Island, Tax Map Block 1073, Lot 75",,03/23/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2384.pdf
28,"MULTIPOLYGON (((-74.11194890411883 40.64373419835679, -74.11192456779206 40.64361207476169, -74.11203304390274 40.643600420880205, -74.11202031531856 40.64353655046857, -74.11230874172287 40.64350556325746, -74.11231047721539 40.643546300137686, -74.11231158616478 40.64357441235457, -74.11231239358501 40.643603188548234, -74.11231130542522 40.64361833183634, -74.112309772888 40.64363215179567, -74.1123069966798 40.64365230721943, -74.11229201199674 40.64370003854772, -74.11226987908213 40.64374746887516, -74.11224440236305 40.64378760285568, -74.11221707768826 40.6438199374385, -74.11218238387787 40.64385419190567, -74.11215942913037 40.64387486139264, -74.1121352280114 40.643894652283336, -74.11211095132492 40.64391450807992, -74.11209791490433 40.64392433284179, -74.11209763270892 40.64392454473875, -74.1120573792416 40.64372254445371, -74.11194890411883 40.64373419835679)))",SI,149,1,1262 Richmond Terrace,5001490001,Cornelius Cruser House,LP-00341,"Borough of Richmond Tax Map Block 149, Lot 1.",also known as the Kreuzer-Pelton House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0341.pdf
44,"MULTIPOLYGON (((-74.24998485623563 40.508213875908844, -74.25021244417762 40.508146509971695, -74.25043305712416 40.50868628726874, -74.2501885209462 40.50876389272236, -74.24998485623563 40.508213875908844)))",SI,8050,13,7647 Amboy Road,5080500013,Rutan Journeay House,LP-02221,"Borough of Richmond, Tax Map Block 8050 Lot 13.",,03/24/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2221.pdf
60,"MULTIPOLYGON (((-74.20405823496357 40.52530727595954, -74.20423163750425 40.52526919393387, -74.20422567296887 40.52520501832981, -74.2044172582246 40.525161437452766, -74.2044141402713 40.52513942053007, -74.20449124772868 40.52513108656939, -74.2045609114638 40.52562307898215, -74.20411003143009 40.52567310004707, -74.20405823496357 40.52530727595954)))",SI,6724,25,5910 Amboy Road,5067240025,Abraham J. Wood House,LP-00841,"Borough of Richmond Tax Map Block 6724, Lot 25.",also known as the 5910 Amboy Road House,03/19/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0841.pdf
