OBJECTID,the_geom,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_Altern,DesDate,LandmarkTy,URL_REPORT
941,"MULTIPOLYGON (((-73.89572035569584 40.863257931913054, -73.89589353689846 40.863029718573685, -73.89607052268161 40.86279649356278, -73.89638424470084 40.86293682626961, -73.89603408152517 40.863398265562644, -73.89572035569584 40.863257931913054)))",BX,3154,7501,2516-2530 Grand Concourse,2031547501,Dollar Savings Bank,LP-01889,"Borough of The Bronx Tax Map Block 3154, Lots 1001-1002",later Emmigrant Savings Bank,07/19/1994 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1889.pdf
942,"MULTIPOLYGON (((-73.88998905960749 40.81660774931129, -73.89167490250878 40.81647371345831, -73.89184688716587 40.81710794935749, -73.89095095600157 40.818000433945784, -73.89048637072014 40.81774088814164, -73.89014711329021 40.8171722183257, -73.88998905960749 40.81660774931129)))",BX,2739,15,1201 Lafayette Avenue,2027390015,American Bank Note Company Printing Plant,LP-02298,"Borough of the Bronx, Tax Map Block 2739, Lot 15.",,02/05/2008 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2298.pdf
943,"MULTIPOLYGON (((-73.91871886302769 40.81508446615008, -73.91871304045706 40.81508201089141, -73.91884315172082 40.81490206160502, -73.91925172356198 40.815074288538305, -73.91899816571708 40.81520220192843, -73.91871886302769 40.81508446615008)))",BX,2307,54,2792 Third Avenue,2023070054,Dollar Savings Bank,LP-02370,"Borough of the Bronx Tax Map Block 2307, Lot 54",,01/12/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2370.pdf
944,"MULTIPOLYGON (((-73.90211132819039 40.84807307755714, -73.90251832551333 40.84809487464205, -73.9024426445701 40.84841983352867, -73.90238488428975 40.848404967062386, -73.90232547920955 40.84838205327405, -73.90227604756892 40.84835567560531, -73.9022227385658 40.84831696058305, -73.9021820985726 40.84827632112097, -73.90215073268615 40.84823280343273, -73.902123482886 40.84817320282959, -73.9021138885473 40.848133445147496, -73.90211132819039 40.84807307755714)))",BX,2803,26,324 East Tremont Avenue,2028030026,Tremont Baptist Church,LP-02048,"Borough of the Bronx Tax Map Block 2803, Lot 26.",,02/08/2000 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2048.pdf
945,"MULTIPOLYGON (((-73.91031224724874 40.823031543181465, -73.90965944233031 40.822829839308234, -73.90992834887976 40.82265511925326, -73.91006480401859 40.82260747514061, -73.9103084104893 40.822741903668465, -73.91034289025137 40.82304101141586, -73.91031224724874 40.823031543181465)))",BX,2365,35,East 161st Street at Third Avenue,2023650035,Bronx Borough Courthouse,LP-01076,"Borough of the Bronx, Tax Map Block 2365, Lot 35.",,07/28/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1076.pdf
946,"MULTIPOLYGON (((-73.90453900062448 40.820885798711195, -73.90446386635602 40.82086831187456, -73.90444025463296 40.820862816389, -73.90446346730631 40.82080692108444, -73.90448555470314 40.82075373083506, -73.90459871739762 40.820481226157426, -73.90477302495175 40.82052235544851, -73.9047161532183 40.82065930823345, -73.90461477838207 40.820903428309585, -73.90453900062448 40.820885798711195)))",BX,2657,30,761 East 160th Street,2026570030,"New York Public Library, Woodstock Branch",LP-02322,"Borough of the Bronx, Tax Block 2657, Lot 30.",,04/14/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2322.pdf
947,"MULTIPOLYGON (((-73.84300136283446 40.83842229230043, -73.84302355417925 40.83840363723538, -73.84299786655907 40.838420156970265, -73.84299705060242 40.83841522114741, -73.84327021435809 40.838238741762154, -73.84365662679645 40.83796670528465, -73.84394304186647 40.837711746109505, -73.84418837455212 40.83749143039924, -73.8450642357945 40.8379366389685, -73.8447923679535 40.83816398790308, -73.84385792635331 40.838945398999456, -73.84300136283446 40.83842229230043)))",BX,3848,18,2500 Westchester Avenue,2038480018,"Saint Peter's Church, Chapel and Cemetery",LP-00917,"Tax Map Block 3848, Lots 18 and 6 in part (that portion of the lot extending to the western boundary of the cemetery which stretches from Westchester Avenue to Butler Place).",,03/23/1976 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0917.pdf
948,"MULTIPOLYGON (((-73.92636772085235 40.832120728355854, -73.92609516300192 40.83201364097508, -73.92684043614565 40.831212714482874, -73.92713145800779 40.83137507425516, -73.92711483950919 40.83139293407414, -73.92706227414594 40.83144942580381, -73.92699284561749 40.83152403919921, -73.92692953214052 40.83159208281438, -73.92686444521532 40.83166203161702, -73.92679697829269 40.831734537177226, -73.92653591053949 40.83201510132194, -73.92708297445539 40.83225920883018, -73.92699874890747 40.83236865210295, -73.92636772085235 40.832120728355854)))",BX,2504,126,1005 Jerome Avenue,2025040126,Park Plaza Apartments,LP-01077,"Borough of the Bronx Tax Map Block 2504, Lot 126",,05/12/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1077.pdf
949,"MULTIPOLYGON (((-73.9142226397784 40.813200218007886, -73.91407492448846 40.81345733427446, -73.91393012320147 40.813709371909674, -73.91351856875825 40.81357192535935, -73.91381075764384 40.813063345860485, -73.9142226397784 40.813200218007886)))",BX,2274,23,519 Saint Ann's Avenue,2022740023,Public School 27,LP-01895,"Borough of the Bronx Tax Map Block 2274, Lot 23.","also known as Saint Mary's Park School, originally Public School 154",09/19/1995 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1895.pdf
950,"MULTIPOLYGON (((-73.91869957987288 40.80300988317616, -73.91887496818127 40.80276877112291, -73.91908362986405 40.80248191248266, -73.91939850517878 40.802614198483475, -73.91919851092658 40.80288914205461, -73.91901445692295 40.80314216931442, -73.91869957987288 40.80300988317616)))",BX,2546,15,158 Bruckner Boulevard,2025460015,Bronx Grit Chamber,LP-01128,"Borough of the Bronx Tax Map Block 2546, Lot 15.",,06/08/1982 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1128.pdf
951,"MULTIPOLYGON (((-73.8924680789434 40.82575962843559, -73.89246941106194 40.82563145936905, -73.89247096471222 40.82548210453427, -73.89283799963084 40.825484457006816, -73.8928348131053 40.825761978835274, -73.8924680789434 40.82575962843559)))",BX,2727,17,1086 Simpson Street,2027270017,62nd Police Precinct Station House,LP-01809,"Borough of The Bronx Tax Map Block 2727, Lot 17.",later 41st Police Precinct Station House,06/02/1992 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1809.pdf
952,"MULTIPOLYGON (((-73.91686277846308 40.80862691889532, -73.91651809728289 40.80848213533273, -73.91672510933945 40.8081617571559, -73.916907934906 40.80787891825081, -73.91723699948133 40.808017141929604, -73.91732346585125 40.80805346163877, -73.91740250418081 40.8080866620377, -73.91744534359137 40.80810465586446, -73.91756576455425 40.80815523838114, -73.9176981766542 40.808210856814966, -73.91782975625156 40.808266126009826, -73.91808961007585 40.80837527393072, -73.9180291041585 40.80851158078282, -73.91800065366259 40.80857592997202, -73.91838090317991 40.808735647436144, -73.91836642874443 40.80876092948348, -73.91805564737768 40.808630391590356, -73.9180233006308 40.80868275058104, -73.91799161053308 40.80873404473981, -73.91794691676972 40.80871527266848, -73.91788262578598 40.8088095351791, -73.9178320358909 40.808992349811504, -73.91782750547144 40.80899968294181, -73.91716939366745 40.80871871397336, -73.91686277846308 40.80862691889532)))",BX,2267,44,295 Saint Ann's Avenue,2022670044,Saint Ann's Church and Graveyard,LP-00101,"Borough of the Bronx Tax Map Block 2267, Lot 44.",,06/09/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0101.pdf
953,"MULTIPOLYGON (((-73.8939248451414 40.81872198770493, -73.89415071868827 40.81850307191138, -73.89439953651191 40.81865146335097, -73.89417338064024 40.818870713451574, -73.8939248451414 40.81872198770493)))",BX,2722,63,877 Southern Boulevard,2027220063,"New York Public Library, Hunts Point Branch",LP-02323,"Borough of the Bronx, Tax Map Block 2722, Lot 63",,04/14/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2323.pdf
954,"MULTIPOLYGON (((-73.92543502000063 40.84009296024009, -73.92585940490594 40.83932413933856, -73.9262130667257 40.83943978780228, -73.92634435382527 40.84008593353962, -73.92596641172071 40.84004848137836, -73.92543502000063 40.84009296024009)))",BX,2529,81,1257 Ogden Avenue,2025290081,Public School 91,LP-01179,"Borough of the Bronx Tax Map Block 2529, Lot 81.",now Public School 11,08/25/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1179.pdf
955,"MULTIPOLYGON (((-73.87895976104754 40.84385541627111, -73.87880008486042 40.843766632840804, -73.87919869434832 40.843334064873375, -73.87963733896406 40.843581988954924, -73.87928664566455 40.84398131732932, -73.87925368878447 40.844018845119066, -73.87895976104754 40.84385541627111)))",BX,3133,25,2103 Bryant Avenue,2031330025,Old West Farms Soldiers' Cemetery,LP-00624,"Borough of The Bronx Tax Map Block 3133, Lot 25.",,08/02/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0624.pdf
956,"MULTIPOLYGON (((-73.89866820992262 40.86085022937162, -73.89839875460149 40.86076835303028, -73.8987035551456 40.860195295762026, -73.89897085205375 40.860276517556336, -73.89929617277053 40.86037536696575, -73.89900697440274 40.86092360120471, -73.89868165143542 40.86082475008894, -73.89866820992262 40.86085022937162)))",BX,3165,44,2401-2419 Grand Concourse,2031650044,Loew's Paradise Theater,LP-01891,"Borough of the Bronx Tax Map Block 3165, Lot 44.",,04/15/1997 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1891.pdf
957,"MULTIPOLYGON (((-73.91839822913893 40.81797863833872, -73.91843093633433 40.81790739075003, -73.91877775514462 40.817996102199515, -73.91874576161368 40.81806753318909, -73.91839822913893 40.81797863833872)))",BX,2398,1,614 Courtlandt Avenue,2023980001,614 Courtlandt Avenue Building,LP-01283,"Borough of the Bronx Tax Map Block 2398, Lot 1.",,02/10/1987 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1283.pdf
958,"MULTIPOLYGON (((-73.89905561444358 40.846483594032826, -73.8992114122217 40.84620524474797, -73.89937702216939 40.84625870390978, -73.8992212237732 40.8465370534147, -73.89905561444358 40.846483594032826)))",BX,2909,40,451-453 East 176th Street,2029090040,"Firehouse, Engine Company 46",LP-02523,"Borough of the Bronx Tax Map Block 2909, Lot 40",now Engine Company 45 and Hook & Ladder 17,02/12/2013 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2523.pdf
959,"MULTIPOLYGON (((-73.90389761162453 40.81537822477365, -73.90353298805577 40.81530498358616, -73.90358503875864 40.81515957516524, -73.90395223405449 40.81523333341741, -73.90390018409754 40.815378741101895, -73.90389761162453 40.81537822477365)))",BX,2675,33,655-659 and 661 Prospect Avenue,2026750033,"Firehouses, Engine Company 73 and Hook & Ladder Company 42",LP-02524,"Borough of the Bronx Tax Map Block 2675, Lot 33",,02/12/2013 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2524.pdf
960,"MULTIPOLYGON (((-73.92004994436279 40.817365751968275, -73.92017246342537 40.81709885659569, -73.92026040446702 40.817121495609506, -73.92013788571438 40.81738839197502, -73.92004994436279 40.817365751968275)))",BX,2331,33,330 East 150th Street,2023310033,"Firehouse, Engine Company 41",LP-02521,"Borough of the Bronx Tax Map Block 2331, Lot 33",,06/12/2012 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2521.pdf
961,"MULTIPOLYGON (((-73.90148079727635 40.831344466509876, -73.9017753172753 40.83109062051577, -73.9021099574223 40.831308963546135, -73.90206785453219 40.831322900783974, -73.90203473043304 40.83133239448655, -73.9020061693437 40.83133959219238, -73.90197868160686 40.831345691298885, -73.9019432817906 40.831352385202614, -73.90191872086223 40.831356283271745, -73.90190075371146 40.831358755157424, -73.90189374579376 40.83135963438285, -73.9018865470418 40.83136048643063, -73.90187935191939 40.83136128895381, -73.90187227425938 40.83136202854182, -73.90186503541065 40.83136273647492, -73.90185791876524 40.831363382377404, -73.90185085317421 40.83136397699467, -73.90184367145869 40.83136453099038, -73.90183645898645 40.831365039034246, -73.90182929994235 40.831365493993886, -73.9018220674577 40.83136590566681, -73.9018149180427 40.83136626247981, -73.90180773787232 40.83136657244042, -73.90180053761661 40.831366835557766, -73.90179334454598 40.831367050054, -73.90178615032022 40.83136724383747, -73.90177899884351 40.831367390831105, -73.9017718450435 40.8313675054045, -73.90176469010711 40.83136758665818, -73.90175753640146 40.83136763729563, -73.90175038274499 40.83136765461436, -73.90174322676526 40.83136763951284, -73.90173607201768 40.831367592894566, -73.90172891850352 40.83136751385912, -73.9017217650386 40.831367401504956, -73.90171461280711 40.83136725673352, -73.90170746062095 40.83136708134489, -73.901700312042 40.831366871740066, -73.90169316350831 40.831366631518, -73.90168601739505 40.83136635797923, -73.9016788737008 40.83136605202431, -73.90167173242435 40.83136571455359, -73.90166459475385 40.83136534376724, -73.90165745950115 40.83136494146517, -73.90165032785174 40.83136450764838, -73.90164319980838 40.83136404051594, -73.90163607418407 40.831363540967295, -73.90162895453298 40.83136301080645, -73.90162183848787 40.83136244732995, -73.90161472604747 40.83136185143821, -73.90160761839472 40.831361224933346, -73.90160051790467 40.83136056511579, -73.90159341983383 40.831359872882075, -73.90158633010861 40.8313591491377, -73.90157924398815 40.83135839297812, -73.90157216384222 40.83135760530588, -73.90156509085773 40.8313567852215, -73.90155802621891 40.831355933626476, -73.90155096518357 40.83135505051675, -73.90154391368218 40.831354134096436, -73.90153686933822 40.831353187965476, -73.90152982978734 40.83135220761936, -73.90152279976505 40.831351197564565, -73.90151577808982 40.831350155098676, -73.90150876357606 40.83134908022063, -73.90150175859236 40.831347974733504, -73.90149476314122 40.83134683683628, -73.9014877748517 40.83134566652687, -73.90148079727635 40.831344466509876)))",BX,2615,23,610 East 169th Street,2026150023,"New York Public Library, Morrisania Branch",LP-01996,"Borough of The Bronx Tax Map Block 2615, Lot 23.",originally the McKinley Square Branch,06/16/1998 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1996.pdf
962,"MULTIPOLYGON (((-73.91564729480758 40.80591985235937, -73.91583789250107 40.8056571081631, -73.91599870361671 40.80572505462076, -73.91580826187804 40.80598758847689, -73.91564729480758 40.80591985235937)))",BX,2550,28,618 East 138th Street,2025500028,"Firehouse, Engine Company 83 and Hook & Ladder 29",LP-02520,"Borough of the Bronx Tax Map Block 2550, Lot 28",,06/12/2012 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2520.pdf
963,"MULTIPOLYGON (((-73.92880058068452 40.83084464382055, -73.92886633320897 40.83071611983363, -73.92879343381053 40.830693266209245, -73.92885376092852 40.8306370369153, -73.92880876574752 40.83061854630011, -73.92879365094593 40.83047708001488, -73.92875295765242 40.8304679616837, -73.92881321295692 40.83032023937138, -73.9295951742436 40.83040388101559, -73.92916290017288 40.830964303181005, -73.92880058068452 40.83084464382055)))",BX,2504,6,936 Woodycrest Avenue,2025040006,American Female Guardian Society and Home for the Friendless at Woody Crest Home,LP-02049,"Borough of the Bronx Tax Map Block 2504, Lot 6",,03/28/2000 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2049.pdf
964,"MULTIPOLYGON (((-73.90494347966369 40.828493802022024, -73.90485981666113 40.82843888925157, -73.90479146438398 40.82839402418343, -73.90472311219649 40.828349160875426, -73.90464986622266 40.82830108501466, -73.90469340403052 40.8282627634961, -73.90478973328547 40.82817797496248, -73.90470976371586 40.8281254829597, -73.90485032231251 40.82800176376672, -73.90499864919016 40.827871207033496, -73.90501000622564 40.82787866078606, -73.90508245845567 40.82792621708284, -73.90537277447741 40.82767223405139, -73.90593399745266 40.82802944974805, -73.90520868582259 40.8286678744822, -73.90494347966369 40.828493802022024)))",BX,2613,1,1122 Franklin Avenue,2026130001,Second Battery Armory,LP-01794,"Borough of The Bronx Tax Map Block 2613, Lot 1.",,06/02/1992 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1794.pdf
965,"MULTIPOLYGON (((-73.89040775145834 40.836581481787746, -73.89004793055578 40.8362017501886, -73.89023836040701 40.836124458427136, -73.89033597705598 40.836089538256864, -73.89046686535531 40.83604717550193, -73.89057414457446 40.83601522062949, -73.89070145670563 40.83598151337064, -73.890808963289 40.835956096085546, -73.89092913519224 40.83593185231637, -73.89102982172331 40.83591446709037, -73.89109153139502 40.83617246663409, -73.89100691486765 40.83617886395859, -73.8910226924039 40.83623735337882, -73.891044992328 40.83634570843757, -73.89113103212445 40.836639096941106, -73.89101651555326 40.83666345792419, -73.89094908261985 40.83668032438159, -73.89086938639147 40.83670230841301, -73.89076156447251 40.836737086093244, -73.89060854098295 40.8364702857405, -73.89040775145834 40.836581481787746)))",BX,2939,93,1619 Boston Road,2029390093,Herman Ridder Junior High School,LP-01628,"Borough of the Bronx Tax Map Block 2939, Lot 93.",Public School 98,12/11/1990 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1628.pdf
966,"MULTIPOLYGON (((-73.92606540314736 40.819194647277726, -73.9263914929443 40.8184614967623, -73.92707244412101 40.818633965768655, -73.92671411520111 40.8193755497605, -73.92606540314736 40.819194647277726)))",BX,2443,400,560 Grand Concourse,2024430400,Bronx Post Office,LP-00837,"Borough of the Bronx Tax Map Block 2443, Lot 400.",,11/25/1975 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0837.pdf
1027,"MULTIPOLYGON (((-73.94143161366897 40.809307588188794, -73.9411941331514 40.80920752372472, -73.94137282928416 40.808960952108386, -73.94140011506371 40.80892328734023, -73.94158997009438 40.80900367119374, -73.94163733267804 40.809023670028175, -73.94161030682108 40.80906101530666, -73.94143161366897 40.809307588188794)))",MN,1726,44,12 West 129th Street,1017260044,12 West 129th Street House,LP-01845,Too long,,07/26/1994 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1845.pdf
967,"MULTIPOLYGON (((-73.92487102343121 40.83928653991358, -73.9246536716407 40.839215140267456, -73.92465961202066 40.8392046200782, -73.92468942082058 40.83915182829205, -73.92471960499923 40.83909837578036, -73.92456008060849 40.839046376999754, -73.92497589767588 40.83843633677871, -73.92601158343821 40.83856888492148, -73.9255650910707 40.839359633641315, -73.92494480721972 40.83915587228757, -73.92487102343121 40.83928653991358)))",BX,2518,1,105-149 West 168th Street,2025180001,Noonan Plaza Apartments,LP-02400,"Borough of the Bronx Tax Map Block 2518, Lot 1.",,06/22/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2400.pdf
968,"MULTIPOLYGON (((-73.92202543629618 40.81329267244099, -73.92202610227922 40.81329176068733, -73.92194669538203 40.813258366934, -73.92212471265955 40.813014967541704, -73.92228638231134 40.81308295703941, -73.92223982923895 40.81314660794257, -73.92219683983119 40.813205388638664, -73.92215244479064 40.81326608732952, -73.92210769946206 40.813327267532316, -73.92202543629618 40.81329267244099)))",BX,2306,52,341 East 143rd Street,2023060052,Fire Hook and Ladder Company 17,LP-02046,"Borough of the Bronx Tax Map Block 2306, Lot 52.",now Engine Company 60,06/20/2000 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2046.pdf
969,"MULTIPOLYGON (((-73.78426766959672 40.84744371838342, -73.78422371032065 40.84732420083471, -73.78419570231489 40.84724805842847, -73.78416796239944 40.847172638712756, -73.78414028249819 40.847097381190636, -73.78411168109199 40.84701961946092, -73.78408447972019 40.84694566583488, -73.78405644854762 40.84686945220676, -73.784028384511 40.84679315386266, -73.78400048041884 40.84671728444565, -73.78397391404073 40.84664505552558, -73.7840818651197 40.84662193572026, -73.78436100964535 40.84656214993774, -73.7844164062648 40.84670975635231, -73.78450772030965 40.846953056992916, -73.78458274459656 40.8471529556972, -73.78465123479624 40.847335442786196, -73.78474126432229 40.84757531983474, -73.78434873438187 40.84766411207434, -73.78426766959672 40.84744371838342)))",BX,5643,7501,190 Fordham Street,2056437501,Public School 102,LP-02487,"Borough of the Bronx Tax Map Block 5643, Lots 1001-1008. Note: the Landmark consists of the original 1897-98 portion of the school building, as well as the adjacent western and eastern side yards and the northern front yard.","later Public School 17, the City Island School",12/20/2011 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2487.pdf
970,"MULTIPOLYGON (((-73.92016555616425 40.88037218145366, -73.92017882943787 40.880363682831614, -73.92019228566086 40.880354981724935, -73.92020754085874 40.88034499596477, -73.92022749229275 40.88033174017783, -73.92024526749323 40.880319739963596, -73.92026941099904 40.880303146258704, -73.92029822866498 40.88028288178901, -73.92034131795366 40.880251616005985, -73.92039716502603 40.88020928211382, -73.92043141861467 40.88018223889014, -73.92046911606923 40.88015147361431, -73.92067947397621 40.88033021650676, -73.92066955147575 40.88033354779275, -73.92062155958878 40.88034724722427, -73.92058178192508 40.88035646426045, -73.92054203560387 40.88036426483818, -73.92049214660987 40.88037197917247, -73.92045122400671 40.88037624179501, -73.92039883385429 40.88038011738921, -73.920357867127 40.880381588437956, -73.92030154541376 40.880382269948385, -73.92027309421015 40.88038184237721, -73.92021677874813 40.88037830236674, -73.9201737778522 40.88037338028604, -73.92016555616425 40.88037218145366)))",BX,5743,15,2550 Independence Avenue,2057430015,Riverdale Presbyterian Chapel,LP-01086,"Borough of Bronx, Tax Map Block 5743, Lot 15.",now Edgehill Church of Spuyten Duyvil,11/25/1980 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1086.pdf
971,"MULTIPOLYGON (((-73.78981934008407 40.854434532018296, -73.79008751171615 40.854369313058385, -73.78995364966943 40.854185565030335, -73.79002073417914 40.854169250440826, -73.79008855095891 40.854152757045995, -73.7903949313149 40.8540782444539, -73.79056927588583 40.854324197724345, -73.7898635537842 40.854495830814415, -73.78981934008407 40.854434532018296)))",BX,5635,73,586 City Island Avenue,2056350073,Samuel Pell House,LP-02115,"Borough of the Bronx Tax Map Block 5635, Lot 73.",,10/29/2002 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2115.pdf
972,"MULTIPOLYGON (((-73.91861085319319 40.81522333669857, -73.91866004427416 40.815155307319785, -73.9187828280178 40.815188485351804, -73.91886263022224 40.81527057414402, -73.91872447339033 40.81534026988397, -73.91861085319319 40.81522333669857)))",BX,2307,59,2804-2808 Third Avenue,2023070059,Haffen Building,LP-02388,"Borough of the Bronx Tax Map Block 2307, Lot 59",,06/22/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2388.pdf
973,"MULTIPOLYGON (((-73.88321956492207 40.87121158013575, -73.88346063662424 40.87112818822005, -73.88360535416399 40.87136775811862, -73.88346323844334 40.8714637193814, -73.88321956492207 40.87121158013575)))",BX,3299,1,2988 Bainbridge Avenue,2032990001,Bedford Park Congregational Church,LP-02062,"Borough of Bronx Tax Map Block 3299, Lot 1.",,06/20/2000 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2062.pdf
974,"MULTIPOLYGON (((-73.91195633370491 40.895847172016715, -73.91194695028501 40.89576935217832, -73.91193661378408 40.895699731424536, -73.91192160315808 40.895626329569396, -73.91190785948342 40.895568508864606, -73.91188054987333 40.89547639544894, -73.91216559280089 40.89548575080072, -73.91228171429034 40.895522011566946, -73.91255348103812 40.895606875021706, -73.91251474702271 40.896029857349816, -73.91247216322742 40.89605149163088, -73.91242222363127 40.89607084839332, -73.91234636980673 40.8960947491164, -73.91225240820272 40.895900010964525, -73.91195633370491 40.895847172016715)))",BX,5926,76,4715 Independence Avenue,2059260076,Alderbrook House,LP-02399,"Borough of the Bronx Tax Map Block 5926, Lot 76",,12/14/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2399.pdf
975,"MULTIPOLYGON (((-73.8305735274912 40.891218632668476, -73.8302494322737 40.89119126078203, -73.83032406095727 40.8906172642879, -73.83062347513626 40.89064894280658, -73.83098375715014 40.89068706082108, -73.83091512071915 40.89124748176188, -73.8305735274912 40.891218632668476)))",BX,4970,10,4010 Dyre Avenue,2049700010,Public School 15,LP-00976,"Borough of the Bronx, Tax Map Block 4970, Lot 10.",,01/10/1978 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0976.pdf
976,"MULTIPOLYGON (((-73.91010124040551 40.898523534514865, -73.9101199420587 40.89847553345627, -73.91024970484784 40.898142492152395, -73.91112527730823 40.898251197030085, -73.91116829797883 40.89825658262, -73.91116544433055 40.89827043257356, -73.91106216029569 40.898771738162125, -73.91099100329428 40.89875335936891, -73.91028364814251 40.898570650174435, -73.91010124040551 40.898523534514865)))",BX,5940,455,4970 Independence Avenue,2059400455,Spaulding Estate Coachman's House,LP-01083,"Borough of the Bronx Tax Map Block 5940, Lot 355.",,07/28/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1083.pdf
977,"MULTIPOLYGON (((-73.78149347662908 40.838765532404466, -73.78150725692737 40.838723945678886, -73.7815118848639 40.83868381122424, -73.78151194657532 40.838665020686214, -73.78149626764834 40.838645345758536, -73.78148732564144 40.83862824550386, -73.78149079546418 40.83859921197406, -73.78150210052857 40.83858129730661, -73.78152240089564 40.838564251546856, -73.78153980085663 40.83855521380611, -73.7815380799206 40.83855861802438, -73.78153147405408 40.83856596616845, -73.78151594667273 40.83859185483946, -73.78195848282634 40.83850164039845, -73.7820576423381 40.838781901047525, -73.78182638914491 40.83882854719089, -73.78178340328334 40.83870705106692, -73.78149347662908 40.838765532404466)))",BX,5637,125,175 Belden Street,2056370125,175 Belden Street House,LP-01082,"Borough of the Bronx, Tax Map Block 5637, Lot 125.",,07/28/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1082.pdf
978,"MULTIPOLYGON (((-73.89901429898063 40.86428278395241, -73.89930080605147 40.863914117089514, -73.89928102948674 40.86390560370436, -73.89953724136653 40.86357591991596, -73.90006108797336 40.86380142891998, -73.89951837260902 40.86449978285914, -73.89901429898063 40.86428278395241)))",BX,3190,1,2500 Jerome Avenue,2031900001,Saint James Episcopal Church and Parish House,LP-01081,"Borough of The Bronx, Tax Map Block 3190, Lot 1.",,11/25/1980 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1081.pdf
